request_id,target_word,other_word,query_json,frame_count,timeline_frame_count,capture_fps,error,target_score,other_score,margin,target_band,other_band,target_capture_quality_status,target_capture_quality_reason,other_capture_quality_status,other_capture_quality_reason,target_score_scale_reason,other_score_scale_reason,target_semantic_floor_reason,other_semantic_floor_reason,target_core_presence,other_core_presence,eligible_for_gate,confusion_pass,confusion_reason
web_20260523_020555_09843ad1,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020555_09843ad1/holistic/user_跳_web_20260523_020555_09843ad1_holistic_results.json,19,37,14.682539682539682,,84.94841523300283,14.490134943272025,70.45828028973081,normal_like,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,1.0,1.0,True,True,passed
web_20260523_020656_ffa06ed9,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020656_ffa06ed9/holistic/user_花_web_20260523_020656_ffa06ed9_holistic_results.json,15,30,10.0,,77.18833204487336,2.5901856332855115,74.59814641158785,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,used,insufficient_two_hand_presence,1.0,0.16666666666666666,True,True,passed
web_20260523_020721_d12639c5,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020721_d12639c5/holistic/user_花_web_20260523_020721_d12639c5_holistic_results.json,15,30,10.0,,77.48293063086018,2.394994587216077,75.0879360436441,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,action_window_coverage_low,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_020734_b9299448,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020734_b9299448/holistic/user_花_web_20260523_020734_b9299448_holistic_results.json,15,30,10.0,,78.08182582418904,2.2355901857649694,75.84623563842408,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,action_window_coverage_low,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_020807_c15e8c2b,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020807_c15e8c2b/holistic/user_花_web_20260523_020807_c15e8c2b_holistic_results.json,15,30,10.0,,78.76797454435363,1.976093892539817,76.79188065181381,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,0.6666666666666666,0.0,True,True,passed
web_20260523_020825_2312ad97,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020825_2312ad97/holistic/user_花_web_20260523_020825_2312ad97_holistic_results.json,45,54,18.0,,63.31809108845088,1.8758570178323548,61.442234070618525,borderline,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,0.7777777777777778,0.0,True,True,passed
web_20260523_020843_6ba8acd9,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020843_6ba8acd9/holistic/user_花_web_20260523_020843_6ba8acd9_holistic_results.json,60,60,20.0,,66.85704531405491,4.067224547169065,62.78982076688585,borderline,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,0.8235294117647058,0.0,True,True,passed
web_20260523_020951_6ff2657c,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_020951_6ff2657c/holistic/user_跳_web_20260523_020951_6ff2657c_holistic_results.json,60,60,20.0,,7.283056837579631,23.41567690384878,-16.132620066269148,low,low,needs_recapture,jump_two_hand_presence_low,score_valid,score_valid,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,query_not_short_core_capture,0.11764705882352941,1.0,False,False,not_eligible
web_20260523_021006_aef545ce,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021006_aef545ce/holistic/user_跳_web_20260523_021006_aef545ce_holistic_results.json,60,60,20.0,,72.86982177632768,15.729445036182499,57.140376740145186,borderline,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,0.9411764705882353,1.0,True,True,passed
web_20260523_021604_9c415199,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021604_9c415199/holistic/user_跳_web_20260523_021604_9c415199_holistic_results.json,60,60,20.0,,4.7839703876199815,30.10918310374735,-25.325212716127368,low,low,needs_recapture,jump_two_hand_presence_low,semantic_mismatch,flower_opening_guard_failed,short_action_window_with_query_energy_peak,default,insufficient_two_hand_presence,query_not_short_core_capture,0.11764705882352941,1.0,False,False,not_eligible
web_20260523_021622_26666615,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_021622_26666615/holistic/user_跳_web_20260523_021622_26666615_holistic_results.json,30,54,18.0,,70.08362779511887,29.289918551190215,40.79370924392866,borderline,low,score_valid,score_valid,semantic_mismatch,flower_opening_guard_failed,jump_relation_semantic_floor,default,used,query_not_short_core_capture,0.875,0.875,True,True,passed
web_20260523_022509_a44cb853,跳,花,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_022509_a44cb853/holistic/user_跳_web_20260523_022509_a44cb853_holistic_results.json,30,54,18.0,,74.91546989845658,36.95450881381092,37.96096108464566,borderline,low,score_valid,score_valid,semantic_mismatch,flower_jump_like_two_hand_confusion,jump_relation_semantic_floor,default,used,jump_like_two_hand_confusion,1.0,1.0,True,True,passed
web_20260523_023452_bd691c4f,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023452_bd691c4f/holistic/user_花_web_20260523_023452_bd691c4f_holistic_results.json,53,105,29.44954128440367,,79.39839837023891,5.589679160034655,73.80871921020426,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,query_not_short_core_capture,insufficient_two_hand_presence,1.0,0.0,True,True,passed
web_20260523_023716_bb545221,花,跳,/data/WYC/signLanguage/work/generated/web_scoring_mvp/web_20260523_023716_bb545221/holistic/user_花_web_20260523_023716_bb545221_holistic_results.json,15,30,10.0,,75.53318443817626,1.9246845522249492,73.60849988595132,normal_like,low,score_valid,score_valid,needs_recapture,jump_two_hand_presence_low,visible_semantic_core_scale,short_action_window_with_query_energy_peak,opening_guard_too_weak,insufficient_two_hand_presence,1.0,0.0,True,True,passed
